Drill id,Drill Name,Category,Location,Focus,Duration (min),Description,PDF URL,YouTube Link,Goal/Reps,XP,Equipment
,Medium Hard Soft 5ft,Putting,Putting Green,Total Putts,10,"Select a hole on a green with a significant slope and place three markers exactly 5 feet away at different angles: one for a straight putt, one for a left-to-right break, and one for a right-to-left break. Your objective is to successfully hole three distinct types of putts from each location to master the relationship between line and speed. First, execute a ""firm"" putt that takes the straightest possible line and hits the back of the cup. Second, hit a ""medium"" putt with standard professional speed that captures the apex of the break and drops in at a moderate pace. Third, hit a ""soft"" putt that takes the maximum possible break and ""dies"" into the high side of the hole with almost no remaining momentum. If you miss any of the three speeds or fail to hole the putt from any of the three markers, you must reset the entire sequence. The goal is to complete all nine putts in a row, proving you can adapt your aim and delivery to any green condition.",,,,15,
,Medium Hard Soft 10ft,Putting,Putting Green,Total Putts,10,"Select a hole on a green with a consistent slope and place three markers exactly 10 feet away to test your speed control on medium-length putts. Your objective is to successfully hole three distinct types of putts from each marker to master how speed changes the line of the break. First, execute a ""firm"" putt that stays on a more direct line and hits the back of the cup with authority. Second, hit a ""medium"" putt with standard professional speed that allows the ball to take the natural break and drop in at a moderate pace. Third, hit a ""soft"" putt that takes the maximum possible break and ""dies"" into the high side of the hole with almost no remaining momentum. If you miss any of the three speeds or fail to hole the putt from any of the markers, you must reset the entire sequence to zero. The goal is to complete the full rotation at the 10-foot distance, proving you can intentionally adjust your entry speed and aim point on mid-range putts.",,,,15,
,Medium Hard Soft 20ft,Putting,Putting Green,Total Putts,10,"Select a hole on a green with a consistent slope and place three markers exactly 20 feet away to test your speed control on long-range putts. Your objective is to successfully hole three distinct types of putts from this distance to master the relationship between velocity and break. First, execute a ""firm"" putt that holds a tighter line and hits the back of the cup with enough pace to finish 18 inches past if it misses. Second, hit a ""medium"" putt with standard professional speed that allows the ball to take the full break and drop in at a dying pace. Third, hit a ""soft"" putt that takes the maximum possible ""pro-side"" break and barely trickles over the front edge of the hole. If you miss the hole or fail to deliver the ball at the specific intended speed, you must reset the entire sequence to zero. The goal is to prove you can intentionally manipulate the entry speed and starting line on 20-foot putts to navigate complex slopes.",,,,15,
,Right Hand Only Start Line 5ft,Putting,Putting Green,<6ft Make %,,"Place a marker at the starting position exactly 5 feet from the hole. Your objective is to hit a series of putts using only your right hand while your left arm firmly holds your right bicep against your ribcage to prevent any independent arm movement. This setup is designed to stabilize the lead shoulder and ensure the putting stroke is driven entirely by the rotation of your torso and core. Focus on maintaining a consistent connection between your arm and body throughout the entire motion to produce a more repeatable and stable stroke at this critical distance. If you lose the physical connection between your arm and ribs or the ball misses the target, you must reset the sequence and start over from zero. The goal is to successfully hole a designated number of 5-foot putts in a row while maintaining perfect structural form and body-controlled timing.",,,,,
,Left Hand Only Start Line 5ft,Putting,Putting Green,<6ft Make %,,"Place a marker at the starting position exactly 5 feet from the hole. Your objective is to hit a series of putts using only your left hand while your right arm firmly holds your left bicep against your ribcage to prevent any independent arm movement. This setup is designed to stabilize the lead shoulder and ensure the putting stroke is driven entirely by the rotation of your torso and core. Focus on maintaining a consistent connection between your arm and body throughout the entire motion to produce a more repeatable and stable stroke at this critical distance. If you lose the physical connection between your arm and ribs or the ball misses the target, you must reset the sequence and start over from zero. The goal is to successfully hole a designated number of 5-foot putts in a row while maintaining perfect structural form and body-controlled timing.",,,,,
,Alignment Stick to Chest Drill,Putting,Putting Green,Total Putts,,"Place an alignment stick vertically so one end is pressed firmly against the center of your chest and the other end is held against the back of the putter head. Your objective is to hit a series of putts while maintaining constant pressure between your chest and the putter throughout the entire stroke. This rigid connection forces the chest and torso to act as the primary power source, ensuring the putter head moves in perfect synchronization with your body's rotation. If the alignment stick loses contact with your chest or the putter head at any point, the stroke has broken down and you must reset the sequence to zero. The goal is to hole a designated number of putts in a row while keeping the stick perfectly stable, proving your chest is directing the path and pace of the stroke.",,,,,
,North South East West 3 ft,Putting,Putting Green,<6ft Make %,,"Place four markers exactly 3 feet from the hole at the North, South, East, and West positions to ensure you face uphill, downhill, left-to-right, and right-to-left putts. Your objective is to successfully hole one putt from each of the four locations in a continuous circle to prove total mastery of short-range breaking putts. By rotating around the hole, you are forced to recalibrate your read and adjust your speed for every single attempt. If you miss any of the four putts, the sequence is broken and you must reset to the first position and start the rotation over from zero. The goal is to complete a set number of full circles without a single miss, building the ultimate confidence and pressure-tested execution for putts inside the scoring zone.",,,,,
,North South East West 5 ft,Putting,Putting Green,<6ft Make %,,"Place four markers exactly 5 feet from the hole at the North, South, East, and West positions to ensure you face a complete variety of uphill, downhill, and side-hill breaks. Your objective is to successfully hole one putt from each of the four locations in a continuous circle to prove total mastery of mid-range scoring putts. By rotating around the hole at this specific distance, you are forced to recalibrate your aim and adjust your delivery speed for every single attempt. If you miss any of the four putts, the sequence is broken and you must reset to the first position and start the rotation over from zero. The goal is to complete a set number of full circles without a single miss, building the necessary pressure and confidence required to hole critical par-saving putts on the course.",,,,,
,North South East West 7 ft,Putting,Putting Green,<6ft Make %,,"Place four markers exactly 7 feet from the hole at the North, South, East, and West positions to ensure you face a complete variety of uphill, downhill, and side-hill breaks at a challenging distance. Your objective is to successfully hole one putt from each of the four locations in a continuous circle to prove total mastery of mid-range scoring putts where the break becomes more significant. By rotating around the hole at this specific 7-foot range, you are forced to recalibrate your aim and adjust your delivery speed for every single attempt. If you miss any of the four putts, the sequence is broken and you must reset to the first position and start the rotation over from zero. The goal is to complete a set number of full circles without a single miss, building the necessary pressure and confidence required to hole critical par-saving putts on the course.",,,,,
,The Gauntlet NSEW,Putting,Putting Green,<6ft Make %,,"Set up four markers at the North, South, East, and West positions around a single hole, ensuring you have a distinct uphill, downhill, left-to-right, and right-to-left putt. Your objective is to successfully hole three consecutive putts from each distance—3 feet, 5 feet, and then 7 feet—at every station for a total of 12 made putts in a row. This is a high-pressure drill designed to simulate the heat of a tournament round where every stroke carries significant weight.The pressure mounts as you progress; if you miss a single putt at any distance or any station, you must return to the very first 3-foot marker at the North station and reset your score to zero. You cannot move from the 3-foot to the 5-foot marker until you have holed the shorter one, and you cannot move to the next compass point until the 7-footer is made. The goal is to complete the full 12-putt rotation without a miss, forcing you to maintain absolute mechanical discipline and mental focus under the escalating threat of a total reset.",,,,,
